adventitious,"adj.偶然的,外来的"
advert,"vi.注意,留意n.广告"
affliction,"n.痛苦,苦恼"
affray,"n.(尤指在公共场所的)吵架,打架"
affront,"n.公开侮辱,轻蔑vt.公开侮辱,冒犯,面对"
agog,"adj.兴奋的,热切的adv.热切地,渴望"
alimentary,"adj.食物的,营养的"
amity,"n.友好,亲善关系"
amnesia,n.健忘症
animus,"n.敌意,意图"
anodyne,"n.止痛剂,镇痛剂adj.止痛的"
antiseptic,"adj.防腐的,杀菌的,消过毒的n.防腐剂,杀菌剂"
apocalyptic,"adj.启示录的,天启的"
apocryphal,"adj.伪经的,假冒的"
apogee,n.远地点
apostasy,"n.变节,背教,脱党"
apostate,"n.变节者,背教者,脱党者adj.变节的,背教的,脱党的"
apostle,"n.使徒(指耶稣十二使徒),传道者,最初的传道者"
apposite,adj.适当的
approbation,"n.官方批准,认可,嘉许"
arrogate,v.冒称
artsy or arty,adj. 装艺术的；艺术家气派的
ascetic,"n.禁欲者,苦行修道者adj.修道的,苦行的"
aseptic,n.防腐剂adj.无菌的
asperity,"n.刻薄,严厉, (气候等的)严酷, 粗糙"
aspersion,"n.洒水,诽谤,中伤"
aspersions,
assent,n.赞成vi.同意
astringent,"n.收敛剂adj.收敛性的,严酷的,涩的"
atavism,"n.[生]隔代遗传,返祖现象"
atavistic,"adj.隔代遗传的,返祖性的"
atrophy,"n.[医]萎缩,萎缩症"
attuned,
avatar,"n.化身,天神下凡,具体化"
bailiwick,"n.执行官之职,范围"
balderdash,"n.胡言乱语, 废话"
ballyhoo,"n.大肆宣传,大吹大擂,喧噪v.大肆宣传,大吹大擂"
ballyhooed,"adj. 大肆宣传的, 哗众取宠的; 动词ballyhoo的过去式和过去分词形式"
bamboozle,v.欺骗；隐瞒；迷惑
bandy,"vt.打来打去,交换,传播"
banter,"n.善意地取笑,逗弄v.善意的与人开玩笑"
bantering,adj.嘲弄的
baste,v.疏缝；痛斥；大骂；润以油脂；涂以奶油
begrudge,"vt.嫉妒,羡慕,舍不得给"
beguile,"vt.诱骗,诱惑"
bellicose,"adj.好战的,好斗的"
bemused,"adj.困惑的,发呆的"
benefactor,"n.恩人,捐助者,赠送者,赞助人"
beneficent,"adj.慈善的,仁慈的,善行的"
bereaved,adj.丧失的
beseech,"v.恳求,哀求"
beset,v.困扰
besmirch,vt.弄污
bespeak,v.预订
bestial,"adj.野兽的,兽性的,残忍的"
bestow,"vt.给予,安放"
betoken,vt.预示
bevy,"n.一群鸟,一群(少女或少妇),<俗>一堆东西,一群人"
bicker,"vi.斗嘴,流动,闪动n.口角,流水声"
bilious,"adj.胆汁质的,坏脾气的"
bilk,"vt.挫败,诈骗n.诈骗,骗子"
billow,"n.巨浪,波浪般滚滚向前的东西v.翻腾"
billowing,
billy goat,雄山羊; 公山羊
biting,"adj.刺痛的,尖锐的"
blanch,"v.漂白,使变白,遮断阳光 发白"
blandishment,"n.奉承,哄诱"
blare,n.号声v.奏鸣
blarney,"n.奉承话, 谄媚,胡扯 ; v.说奉承话,谄媚"
blatant,"adj.喧嚣的,俗丽的,吵闹的,炫耀的"
blazon,"vt.广布,宣布,夸示,装饰n.纹章"
bleak,"adj.寒冷的,阴冷的,荒凉的,凄凉的,黯淡的,"
blight,"n.枯萎病,不良影响,打击vt.破坏,使枯萎"
blighted,adj.毁灭的
bloated,"adj.浮肿的,发胀的,傲慢的"
blooper,n.<非> 过失；失礼；[棒]击出内场的飞球
blotch,n.大斑点v.弄脏
blowhard,n.<俚>吹牛大家
blurb,n.大肆宣传；吹捧性广告；简介；短评
blurt,"vt.未加思索地冲口说出,突然说出"
bluster,"v.风狂吹,咆哮,吓唬n.怒号,吓唬"
bode,v.预示 vbl.忍耐
bogeyman,n.可怕的人；(虚构来吓唬小孩的）鬼怪
bombast,n.夸大的言辞
bombastic,"adj.夸大的,言过其实的"
bonanza,n.富矿带；带来好运的事物；暴富之源
bootless,"adj.无用的,无益的"
booty,"n.战利品,获得之物"
botch,v.修补
bountiful,"adj.慷慨的,宽大的"
boxcar,n.有顶货车；货车车厢
braggadocio,"n.自夸,吹牛大王"
braggart,"n.吹嘘adj.吹牛的,自夸的"
brash,"adj.仓促的,无礼的,性急的,傲慢的n.胃灼热,骤雨,碎片"
brassiere,n.<正式>胸罩
brassy,"adj.象黄铜的,厚脸皮的n.铜头高尔夫球棍"
bravado,"n.虚张声势,装作有自信的样子"
brawl,"n.vi.争吵,怒骂"
brazen,"adj.黄铜制的,厚颜无耻的"
brigand,"n.土匪, 强盗"
brisk,"adj.敏锐的,凛冽的,轻快的,活泼的vt.使活泼vi.活跃起来"
bristle,"n.刚毛,猪鬃vi.(毛发等)竖起,发怒"
bristling,adj.竖立的
broil,"v.烤(肉),酷热"
brood,"n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思"
brook,n.小溪vt.容忍
browbeat,"v.恫吓,吓唬"
brusque,"adj.唐突的,直率的,粗暴的,无礼的"
bulwark,"n.壁垒,防波堤"
bumble,v.说话含糊；语无伦次地说
bumblebee,n.大黄蜂；熊蜂
bumbling,"adj.常出差错的,笨手笨脚的, 装模作样的, 妄自尊大的; n.犯错 ; 动词bumble的现在分词形式"
bumptious,"adj.盲目自夸的,盲目自大的,傲慢的"
burble,"v.冒泡,说话快速而激动,唠叨 ; n.潺潺声,气流分离"
burnish,"vt.磨光,擦亮(金属)"
bursar,n.会计；财务主管；司库
bushed,adj.疲倦的；迷路的；长满灌木的
butterfingers,n.容易掉球的人；手脚笨拙的人
byzantine,"adj.东罗马帝国的,拜占庭式的n.拜占庭人,拜占庭派的建筑师,画家"
cadge,"v.行乞,乞讨,贩卖"
cagey,"adj.谨慎小心的,精明的"
calamitous,"adj.多灾难的,不幸的"
calorific,adj.生热的
calumniate,"vt.中伤,诽谤"
calumny,"n.诽谤,中伤"
canker,"n.[医]溃疡,[植](树的)癌肿病,腐败vi.患溃疡,腐蚀,溃烂vt.使患溃疡,使腐蚀"
canny,adj.精明的；谨慎的；节俭的；狡诈的
canonize,"vt.封...死者为圣徒,使加入圣徒之列,褒扬,推崇"
captious,"adj.吹毛求疵的,挑剔的"
carafe,"n.卡夫卡瓶, 玻璃水瓶"
carat,n.(=karat)克拉(宝石的重量单位)
carouse,v.狂欢作乐
carping,"adj.吹毛求疵的,挑毛病的"
Carrel,n.图书馆卡座(=carrell)
casserole,n.（餐桌上用有盖的）焙盘；砂锅菜
caste,"n.印度的世袭阶级,(排他的)社会团体,职业等级,(具有严格等级的)社会地位,社会等级制度"
casuistry,"n.决疑法,决疑论,诡辩"
cataclysmal,
catcall,"n.不满之声,嘘声v.发嘘声"
catechism,"n.问答教学法,问答集"
