adulate,"vt.奉承,谄媚,奉承"
aggress,"v.攻击,侵犯"
animadvert,"vi.批判,非难"
besot,"vt.使烂醉,使迷糊,使沉醉"
betroth,vt.许配
cloture,n.讨论终结vt.结束辩论
coruscate,"vi.闪烁,焕发"
counterpoise,"vt.平均,平衡,使平衡n.秤锤,平衡"
countervail,"vt.补偿,抵销vi.抵销"
defalcate,"vi.盗用公款,挪用公款,贪污"
deliquesce,"vi.溶解,解除,液化"
disfranchise,"vt.剥夺公民权,剥夺推举议员权,剥夺权利"
elide,"vt.取消,省略,省略发音,不予考虑删节"
expectorate,vt.咳出vi.吐痰
footle,"n.呆话,傻事vi.说呆话,做笨事,浪费时间"
goldbrick,"vi.称病,欺诈,偷懒n.假金砖,懒汉,赝品"
imprecate,"vt.祈求,诅咒"
instate,vt.任命
interlard,"vt.使混杂,混入"
objurgate,"vt.申斥,非难"
palter,"vi.含糊其词,敷衍了事,斤斤计较"
pend,vi.悬而未决
privateer,"n.(战时特准攻击敌方商船的)武装民船,私掠船"
prorogue,n.休会
rive,"vt.撕开,劈开,使沮丧vi.裂开,破裂"
scythe,"n.长柄镰刀,镰(古兵器)vt.用镰割"
spoor,"n.痕迹,足迹v.循着足迹追踪"
suborn,v.唆使
supervene,"v.接着发生,被附加"
swig,"n.痛饮,大喝(尤指从瓶口喝的)v.满满一口喝下,牛饮,大喝特喝"
wizen,"adj.凋谢的,枯萎的"
abnegate,v.放弃
abscess,"n.脓肿,砂眼"
accession,"n.就职,就任,添加,增加"
adduce,"vt.引证,举出(例证、理由、证据)"
adjure,"vt.起誓,恳请,(以起誓或诅咒等形式)命令"
advert,"vi.注意,留意n.广告"
affray,"n.(尤指在公共场所的)吵架,打架"
agglutinate,"adj.粘着的,胶合的vt.使...粘着vi.成胶状,粘合"
anathematize,"v.开除教籍,诅咒,咒逐"
anatomize,"vt.解剖,仔细分析"
anneal,"n.退火,焖火,锻炼,磨练(意志)"
apostatize,"vi.放弃信仰,变节,脱党"
appertain,v.属于
assay,n.化验v.化验
asseverate,"vt. 郑重声明, 断言"
attenuate,v.削弱
badinage,"n.开玩笑,揶揄v.打趣"
bale,"n.大包,大捆,(指标准量货物,如稻草,麦杆)货物vt.打包,捆包,包装,灾难,痛苦,悲哀"
banter,"n.善意地取笑,逗弄v.善意的与人开玩笑"
bastardize,"v.判定(或证明)为私生子,使质次,使不纯"
bawl,n.叫骂声v.大叫
beatify,"vt.使享福,行宣福礼"
benefice,"n.僧侣所领之禄,圣俸,有俸圣职"
berry,n.浆果
bespatter,vt.溅污
bespeak,v.预订
bevel,"n.斜角,斜角规,倾斜,斜面vi.成斜角vt.使成斜角"
bib,"n.工作服的上部,围兜,口水兜v.(使)过多喝酒"
bilge,n.舱底
billet,"n.兵舍,工作职位vt.给(部队)安排住处"
birch,"n.桦树,白桦"
blab,"v.泄漏(秘密),胡扯"
blabber,n.多嘴的人
blackguard,n.流氓
blackjack,"v.以棒打,胁迫n.扑克牌的二十一点"
blather,"vi.喋喋不休地说,说废话n.废话,胡说"
blazon,"vt.广布,宣布,夸示,装饰n.纹章"
bleep,n.哔哔声vi.发出哔哔声
blench,"vi.畏缩,回避"
blinker,"n.贬眼睛者,瞥视者,闪光警戒灯"
blob,"n.一滴,水滴,斑点vt.溅污"
blubber,"n.鲸脂,哭泣v.又哭又闹"
bogey,"n.妖怪,可怕的人(物)"
bollix,"vt. 搞乱, 弄糟\nn. 乱糟糟的一团"
boogie,"(随着摇摆舞音乐节奏)摆动身体, [蔑]黑人"
boondoggle,"vi.<美俚>做细小而无用的事n.细小而无用的事,手工品"
bootleg,v.私卖(酒)
bop,"n.<英>(旅馆中的)爵士音乐,<美>波普v.殴打,从容地走"
bout,"n.一回,一场,回合,较量vt.来回耕"
bowel,"n.肠adj.内部,同情心"
bower,n.凉亭
bracket,"n.墙上凸出的托架,括弧,支架v.括在一起"
brandy,"n.白兰地酒,(夹心)糖果"
breadboard,[计] 实验电路板
brutalize,vi.使...变得残酷无情
bucket,"n.桶,一桶的量,[桶壮物]铲斗"
buffalo,"n.[动](印度,非洲等的)水牛 <美>[动]美洲野牛"
bugle,"n.喇叭,军号"
bulge,"n.凸出部分v.凸出,膨胀"
bung,"n.桶等的塞子,桶孔v.堵"
bungle,v.办糟
bunk,"n.(轮船,火车等)铺位"
bunker,"n.船上的煤仓,碉堡,掩体,燃料舱"
burgle,v.偷窃
butt,"n.粗大的一端,靶垛,笑柄v.以头抵撞,碰撞"
cabal,"n.(政治)阴谋小集团,(尤指政治上的)阴谋vi.策划阴谋"
cache,"n.隐藏处所,隐藏的粮食或物资,贮藏物;vt.隐藏,窖藏;n.高速缓冲存储器"
cadence,"n.(声音的)抑扬顿挫,节奏,韵律,调子"
cadge,"v.行乞,乞讨,贩卖"
canker,"n.[医]溃疡,[植](树的)癌肿病,腐败vi.患溃疡,腐蚀,溃烂vt.使患溃疡,使腐蚀"
cannonade,"n.连续开炮,炮击"
cannonball,n.炮弹
canonize,"vt.封...死者为圣徒,使加入圣徒之列,褒扬,推崇"
caper,n.跳跃vi.雀跃
caravan,"n.(商队,游客经过沙漠时为安全起见而结队同行的)沙漠,旅行队,大篷车"
carouse,v.狂欢作乐
casket,"n.首饰盒,匣子,<美>棺材"
catechize,"vt.以问答法讲授,盘问"
catnap,"n.小睡,小憩vi.打瞌睡,假寐"
cavort,vi.腾跃
centrifuge,n.离心分离机
chaff,"n.谷壳,糠,愚弄v.戏弄,开玩笑"
chamois,"n.[动]岩羚羊(产于欧洲和西亚地区的小羚羊),羚羊皮,麂皮,擦拭用的软皮"
champ,"v.(指马) 使劲地嚼,焦急"
chariot,n.战车
chloroform,n.氯仿vt.用氯仿麻醉
chopper,n.断路器
clangor,"n.(尤指连续的)铿锵声,丁当声"
clank,n.叮当声v.(使)发叮当声
cleat,n.夹板
cloister,"n.回廊,修道院"
closure,n.关闭vt.使终止
clout,"n.敲打,轻叩,破布vt.叩,敲一下"
cobble,"n.圆石,鹅卵石v.修,拙劣地修补"
cobweb,"n.蜘蛛网,蛛丝"
coiffure, 以头饰戴的
conciliate,"vt.安慰,赢得,调和"
condole,v.慰问
confabulate,v.交谈
conflate,v.合并
congress,"n.(代表)大会,[C～] (美国等国的)国会,议会"
conjugate,"v.<语法>使(动词)变化,变化"
conjure,"v.(以咒文)召唤,变戏法,想象vi.变戏法,施魔法vt.祈求,恳求"
conscript,n.被征入伍的士兵vt.征募
console,"vt.安慰,藉慰n.[计] 控制台"
contemn,"vt.侮辱,蔑视"
contrive,"v.发明,设计,图谋"
copulate,"vi.性交,交配,交尾adj.连接的,配合的"
cornrow, <美>v.(将...)梳成一排排辫子
corset,"n.束腹,妇女的胸衣"
countenance,"n.面容,脸色,支持vt.支持,赞助"
cowl,"n.蒙头斗篷,连有头巾的修道士服,(烟囱顶上的)通风帽"
cozen,"v.欺骗,瞒"
crud,n.脏家伙
crutch,"n.(跛子用的)拐杖,支撑,帮助vt.支撑"
daguerreotype,n.银板照相法v.银板照相
dandle,v.逗弄
dangle,v.摇摆
darn,n.v.织补
deadpan,n.<俚>无表情的脸
debar,"v.阻止,禁止,排除,剥夺"
debark,"vt.使登陆,卸载,使下船vi.登陆"
debouch,"vi.溢出,流出vt.使流出"
defecate,v.澄清
defraud,vt.欺骗
defray,"vt.支付,支出"
defrock,"v.剥去法衣,解除僧职"
deice,"vt.防止结冰,装以除冰装置,除冰,"
denigrate,v.毁誉
denizen,n.居民
descant,v.详论
descry,"vt.察看,发现,远远看到"
despoil,"vt.夺取,掠夺"
determinate,adj.确定的
deuce,"n.两点,平分,平手"
diadem,"n.王冠,王权,带状头饰"
dicker,"n.十个,小生意,十张vi.做小生意,易货,还价"
diddle,"vt.欺骗,骗取,浪费vi.快速摇动n.<美俚> 酒"
digitize,v.[计]将资料数字化
dint,"n.凹痕,打vt.击出凹痕"
discommode,"vt.使不方便,使为难,使不自由"
disenfranchise,v.(=disfranchise)剥夺...公民权
disorient,"vt.使失去方向感,使迷惑"
disorientate,"vt.使失去方向感,使迷惑"
doggone,"adj.可憎的,可恶的adv.非常地,极端地int.畜生!他妈的!"
don,"n.<西>君,先生(西班牙语冠于男子姓名前),阁下,(英国剑桥或牛津大学)指导教师vt.穿上"
douche,"n.[医] 灌注法,灌水法,灌水器v.冲洗,施行灌注法"
dowse,v.探寻水源或矿藏
dragoon,"n.骑兵,凶暴粗野的男人vt.以武力迫害,弹压,强制"
drub,v.打击
duct,"n.管,输送管,排泄管vt.通过管道输送"
dun,"n.催促者,讨债者,催债v.催讨adj.暗褐色的,微暗的"
dynamite,"n.炸药,<俚> 能产生不凡效果的人或物vt.炸毁,使失败"
egress,"n.出口,外出vi.外出"
emplace,"v.放列,安置,安放"
endue,"vt.穿上,授予,赋予"
engraft,"vt.灌输,使牢记,嫁接"
equipoise,"n.平衡,均衡"
excruciate,"vt.施酷刑,折磨,使苦恼"
execrate,"vt.痛骂,憎恨,憎恶,诅咒vi.诅咒"
fettle,"n.状态,情绪vt.<英>殴打,修补,整顿"
fife,"n.横笛,吹横笛v.吹横笛"
fillip,"n.弹指,轻击,刺激vt.用指弹,刺激,激起vi.弹指"
fink,"n.破坏及反罢工的人,告发人,密告人,乞丐vi.向警方告密,做工贼"
fishtail,adj.鱼尾状的vi.摇摆尾翼而减缓飞行速度
flack,"n.高射炮,对空炮火,[美俚](剧团,公司等的)宣传员,广告,宣传"
flimflam,"n.胡言乱语,欺骗,胡说,胡扯,荒唐adj.胡说的,荒唐的vt.欺诈,骗,骗取"
flinch,"vi.畏缩,退缩,畏首畏尾n.退缩,畏缩"
flounce,"n.衣裙上的荷边装饰vt.镶以荷叶边,在...上vi.跳动,突然离去,挣扎"
flounder,"vi.(在水中)挣扎,困难地往前走,踌躇,发慌n.挣扎,辗转,比目鱼"
flub,"vt.搞坏,把...搞得一团糟,做得不好,弄糟vi.搞错,瞎搞n.失策"
